NU_ANO_CENSO,NO_REGIAO,SG_UF,NO_CURSO,QT_ING_TOTAL,QT_CONC_TOTAL,QT_ALUNO_DESISTENTE,QT_ALUNO_MATRICULADO
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,156,21,61,223
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,95,16,27,394
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,86,14,44,187
2024,SUL,PR,ENGENHARIA DE SOFTWARE,79,14,24,229
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,117,23,52,181
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,71,8,34,247
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,95,10,45,191
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,183,30,73,328
2024,NORTE,AM,CIENCIA DA COMPUTACAO,74,5,34,159
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,110,23,39,259
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,145,20,60,233
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,112,18,29,424
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,94,12,39,177
2024,SUL,PR,ENGENHARIA DE SOFTWARE,78,11,34,222
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,117,28,44,204
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,70,8,42,250
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,84,12,41,186
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,194,34,78,302
2024,NORTE,AM,CIENCIA DA COMPUTACAO,58,8,25,167
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,119,21,31,234
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,146,21,60,204
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,98,15,34,400
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,99,8,37,174
2024,SUL,PR,ENGENHARIA DE SOFTWARE,80,12,31,214
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,117,26,46,188
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,71,10,39,266
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,97,14,42,165
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,180,28,72,308
2024,NORTE,AM,CIENCIA DA COMPUTACAO,58,5,31,142
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,122,19,28,261
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,146,23,62,213
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,99,18,37,401
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,99,13,48,209
2024,SUL,PR,ENGENHARIA DE SOFTWARE,83,15,32,246
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,128,24,53,200
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,78,11,35,244
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,86,10,47,181
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,184,28,70,339
2024,NORTE,AM,CIENCIA DA COMPUTACAO,69,9,25,144
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,114,19,31,235
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,146,20,57,204
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,103,13,32,408
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,92,11,39,173
2024,SUL,PR,ENGENHARIA DE SOFTWARE,91,12,27,242
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,122,27,47,204
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,65,11,38,256
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,96,14,46,197
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,177,28,72,307
2024,NORTE,AM,CIENCIA DA COMPUTACAO,58,6,31,172
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,122,22,32,231
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,158,19,61,221
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,110,17,29,392
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,91,8,39,197
2024,SUL,PR,ENGENHARIA DE SOFTWARE,76,10,22,242
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,134,24,50,189
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,67,8,36,243
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,92,13,40,171
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,186,33,67,325
2024,NORTE,AM,CIENCIA DA COMPUTACAO,73,9,29,175
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,120,22,34,259
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,160,24,57,208
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,109,15,27,426
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,85,14,44,181
2024,SUL,PR,ENGENHARIA DE SOFTWARE,77,10,23,240
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,130,27,53,193
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,73,10,42,266
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,87,10,46,179
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,185,28,69,306
2024,NORTE,AM,CIENCIA DA COMPUTACAO,74,5,32,164
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,122,22,31,267
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,151,18,58,223
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,108,17,29,427
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,103,12,37,190
2024,SUL,PR,ENGENHARIA DE SOFTWARE,91,12,34,211
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,124,29,49,201
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,82,12,38,277
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,91,13,41,167
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,180,33,76,323
2024,NORTE,AM,CIENCIA DA COMPUTACAO,63,6,25,178
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,113,24,33,250
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,159,21,60,221
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,108,18,28,403
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,92,13,38,181
2024,SUL,PR,ENGENHARIA DE SOFTWARE,84,11,26,222
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,127,23,42,192
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,77,6,41,263
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,93,10,35,179
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,187,28,73,328
2024,NORTE,AM,CIENCIA DA COMPUTACAO,69,9,30,178
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,108,21,32,243
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,147,23,63,216
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,109,19,27,392
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,87,12,48,199
2024,SUL,PR,ENGENHARIA DE SOFTWARE,94,13,34,225
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,127,25,42,189
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,72,8,42,276
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,98,10,43,190
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,189,33,69,306
2024,NORTE,AM,CIENCIA DA COMPUTACAO,68,7,27,160
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,119,24,39,253
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,162,23,54,229
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,99,18,29,419
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,92,11,46,186
2024,SUL,PR,ENGENHARIA DE SOFTWARE,81,11,31,249
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,119,23,43,216
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,67,8,35,260
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,90,13,40,190
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,192,34,76,304
2024,NORTE,AM,CIENCIA DA COMPUTACAO,67,8,27,167
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,121,20,39,250
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,164,19,53,206
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,113,15,31,403
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,101,12,48,204
2024,SUL,PR,ENGENHARIA DE SOFTWARE,81,15,33,239
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,124,27,45,185
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,67,12,37,272
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,81,12,40,163
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,181,30,68,306
2024,NORTE,AM,CIENCIA DA COMPUTACAO,62,9,36,172
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,115,19,29,249
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,148,18,55,230
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,95,16,29,412
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,86,12,45,190
2024,SUL,PR,ENGENHARIA DE SOFTWARE,86,14,25,231
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,117,27,44,214
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,76,11,41,260
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,99,10,43,167
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,181,31,72,303
2024,NORTE,AM,CIENCIA DA COMPUTACAO,64,6,26,140
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,107,24,29,260
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,154,20,62,239
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,114,15,28,397
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,96,11,41,196
2024,SUL,PR,ENGENHARIA DE SOFTWARE,89,16,34,244
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,117,28,44,197
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,70,12,40,241
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,93,14,35,165
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,189,30,70,314
2024,NORTE,AM,CIENCIA DA COMPUTACAO,59,3,33,171
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,124,23,30,243
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,146,19,59,213
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,101,14,33,398
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,100,10,39,183
2024,SUL,PR,ENGENHARIA DE SOFTWARE,87,16,22,224
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,122,27,52,216
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,69,7,40,249
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,85,10,39,185
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,181,32,76,325
2024,NORTE,AM,CIENCIA DA COMPUTACAO,57,5,33,159
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,117,21,33,253
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,154,23,53,209
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,97,13,34,404
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,87,8,45,186
2024,SUL,PR,ENGENHARIA DE SOFTWARE,94,14,30,211
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,118,24,48,211
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,68,12,33,247
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,92,10,46,182
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,179,28,72,338
2024,NORTE,AM,CIENCIA DA COMPUTACAO,68,3,27,144
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,118,20,37,259
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,158,21,55,212
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,97,15,30,403
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,101,9,48,202
2024,SUL,PR,ENGENHARIA DE SOFTWARE,88,16,29,241
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,117,26,44,193
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,68,10,34,278
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,88,12,38,166
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,190,32,74,309
2024,NORTE,AM,CIENCIA DA COMPUTACAO,64,7,30,161
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,117,18,36,251
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,146,19,59,227
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,113,13,31,404
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,93,8,42,178
2024,SUL,PR,ENGENHARIA DE SOFTWARE,90,10,28,230
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,116,29,42,193
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,81,11,43,258
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,95,14,45,187
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,184,28,76,320
2024,NORTE,AM,CIENCIA DA COMPUTACAO,70,6,25,144
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,112,21,28,241
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,153,20,59,232
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,107,18,27,399
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,100,11,44,176
2024,SUL,PR,ENGENHARIA DE SOFTWARE,89,15,28,215
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,128,26,50,186
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,74,12,38,249
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,99,15,36,191
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,180,29,67,316
2024,NORTE,AM,CIENCIA DA COMPUTACAO,56,8,33,159
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,114,22,35,230
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,162,19,54,239
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,113,19,37,411
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,91,9,48,174
2024,SUL,PR,ENGENHARIA DE SOFTWARE,91,13,27,212
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,128,24,42,215
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,70,10,33,259
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,81,13,38,191
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,183,31,69,304
2024,NORTE,AM,CIENCIA DA COMPUTACAO,65,8,27,169
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,109,24,37,243
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,156,23,56,228
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,97,19,38,426
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,96,10,47,205
2024,SUL,PR,ENGENHARIA DE SOFTWARE,82,12,25,240
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,117,28,54,184
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,81,9,44,266
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,88,14,39,166
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,186,30,78,325
2024,NORTE,AM,CIENCIA DA COMPUTACAO,71,4,30,161
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,115,23,27,265
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,158,19,64,213
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,105,15,27,392
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,94,9,49,209
2024,SUL,PR,ENGENHARIA DE SOFTWARE,75,11,31,238
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,133,28,51,200
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,84,7,41,258
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,92,15,36,173
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,181,32,73,320
2024,NORTE,AM,CIENCIA DA COMPUTACAO,55,9,27,173
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,122,22,33,262
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,158,24,52,209
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,114,14,33,414
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,86,9,49,193
2024,SUL,PR,ENGENHARIA DE SOFTWARE,91,14,32,213
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,119,26,47,209
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,74,11,36,264
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,90,10,42,171
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,193,29,74,307
2024,NORTE,AM,CIENCIA DA COMPUTACAO,67,7,26,166
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,107,20,38,252
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,160,23,58,239
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,113,13,35,412
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,99,13,37,174
2024,SUL,PR,ENGENHARIA DE SOFTWARE,91,10,28,225
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,129,25,50,199
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,66,8,44,254
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,98,14,43,167
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,176,32,72,301
2024,NORTE,AM,CIENCIA DA COMPUTACAO,70,4,30,155
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,117,18,36,267
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,157,24,53,211
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,114,15,36,404
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,101,12,45,188
2024,SUL,PR,ENGENHARIA DE SOFTWARE,84,15,33,220
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,120,23,47,203
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,84,10,42,267
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,94,10,41,161
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,191,34,72,317
2024,NORTE,AM,CIENCIA DA COMPUTACAO,56,5,36,150
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,115,21,35,265
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,145,22,61,205
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,107,19,31,423
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,87,8,45,177
2024,SUL,PR,ENGENHARIA DE SOFTWARE,93,15,34,211
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,132,23,47,213
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,82,9,39,257
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,93,11,36,179
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,189,34,74,335
2024,NORTE,AM,CIENCIA DA COMPUTACAO,64,6,32,158
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,124,23,35,258
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,147,21,55,238
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,110,18,31,391
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,103,14,41,202
2024,SUL,PR,ENGENHARIA DE SOFTWARE,75,15,30,249
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,117,29,44,203
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,75,9,40,270
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,81,10,41,160
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,188,31,71,311
2024,NORTE,AM,CIENCIA DA COMPUTACAO,61,7,36,157
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,112,21,35,255
